?SELECTION,SEX,LINE,SAMPLE,CYCLE,VO2,VCO2,RQ,ACTIVITY,BODY_WEIGHT
Poly,F,P4,P4T3F,I,0.01019733,0.008292041,0.813158,0.07942,0.00144
Poly,F,P4,P4T3F,II,0.01044334,0.008586213,0.8221712,0.101170016,0.00144
Poly,F,P4,P4T3F,III,0.009061004,0.007913272,0.8733328,0.097453609,0.00144
Poly,M,P4,P4T1M,I,0.008720995,0.008156638,0.9352875,0.064549117,0.00068
Poly,M,P4,P4T1M,II,0.007651093,0.006802273,0.889059,0.074978844,0.00068
Poly,M,P4,P4T1M,III,0.006483261,0.006138251,0.9467845,0.073156998,0.00068
Poly,M,P4,P4T2M,I,0.007941699,0.007272202,0.9156986,0.029940909,0.00077
Poly,M,P4,P4T2M,II,0.007276294,0.00615308,0.8456338,0.043233359,0.00077
Poly,M,P4,P4T2M,III,0.004392823,0.005331013,1.213573,0.060766903,0.00077
Poly,M,P4,P4T3M,I,0.006299709,0.006032454,0.9575766,0.050809067,0.00063
Poly,M,P4,P4T3M,II,0.008226909,0.006717153,0.8164856,0.073152902,0.00063
Poly,M,P4,P4T3M,III,0.006945607,0.005997533,0.8635002,0.074516201,0.00063
