Vial,Treatment,Replicate,Sex,Death_date,Death_time
9,P,R3,f,07/02/2017,10
10,P,R3,f,06/02/2017,8
10,P,R3,f,06/02/2017,16
10,P,R3,f,06/02/2017,20
1,M,R4,f,06/02/2017,14
1,M,R4,f,06/02/2017,16
1,M,R4,f,07/02/2017,18
2,M,R4,f,06/02/2017,20
2,M,R4,f,07/02/2017,18
2,M,R4,f,08/02/2017,12
3,M,R4,f,07/02/2017,6
3,M,R4,f,07/02/2017,8
3,M,R4,f,08/02/2017,18
4,M,R4,f,07/02/2017,4
4,M,R4,f,07/02/2017,6
4,M,R4,f,08/02/2017,12
5,M,R4,f,06/02/2017,22
5,M,R4,f,07/02/2017,22
5,M,R4,f,07/02/2017,22
6,M,R4,f,06/02/2017,10
6,M,R4,f,07/02/2017,2
6,M,R4,f,07/02/2017,6
7,M,R4,f,06/02/2017,14
7,M,R4,f,07/02/2017,2
7,M,R4,f,08/02/2017,0
8,M,R4,f,06/02/2017,14
8,M,R4,f,07/02/2017,2
8,M,R4,f,08/02/2017,2
9,M,R4,f,06/02/2017,16
9,M,R4,f,06/02/2017,18
9,M,R4,f,07/02/2017,18
10,M,R4,f,06/02/2017,16
10,M,R4,f,07/02/2017,10
10,M,R4,f,08/02/2017,2
1,P,R4,f,06/02/2017,10
1,P,R4,f,06/02/2017,16
1,P,R4,f,06/02/2017,22
2,P,R4,f,06/02/2017,4
2,P,R4,f,06/02/2017,14
2,P,R4,f,06/02/2017,18
3,P,R4,f,06/02/2017,16
3,P,R4,f,06/02/2017,22
3,P,R4,f,07/02/2017,0
4,P,R4,f,06/02/2017,16
4,P,R4,f,06/02/2017,22
4,P,R4,f,07/02/2017,16
5,P,R4,f,06/02/2017,14
5,P,R4,f,06/02/2017,22
5,P,R4,f,07/02/2017,0
6,P,R4,f,07/02/2017,4
6,P,R4,f,07/02/2017,6
6,P,R4,f,07/02/2017,6
7,P,R4,f,06/02/2017,16
7,P,R4,f,07/02/2017,4
7,P,R4,f,07/02/2017,12
8,P,R4,f,06/02/2017,22
8,P,R4,f,07/02/2017,4
8,P,R4,f,08/02/2017,4
9,P,R4,f,07/02/2017,10
9,P,R4,f,NA,NA
9,P,R4,f,08/02/2017,12
10,P,R4,f,07/02/2017,0
10,P,R4,f,07/02/2017,16
10,P,R4,f,07/02/2017,18
13,M,R1,m,05/02/2017,18
13,M,R1,m,05/02/2017,18
13,M,R1,m,06/02/2017,6
14,M,R1,m,06/02/2017,2
14,M,R1,m,06/02/2017,4
14,M,R1,m,06/02/2017,16
15,M,R1,m,05/02/2017,20
15,M,R1,m,05/02/2017,22
15,M,R1,m,06/02/2017,8
16,M,R1,m,06/02/2017,0
16,M,R1,m,06/02/2017,0
16,M,R1,m,06/02/2017,2
17,M,R1,m,05/02/2017,20
17,M,R1,m,05/02/2017,20
17,M,R1,m,06/02/2017,6
18,M,R1,m,05/02/2017,20
18,M,R1,m,05/02/2017,20
18,M,R1,m,06/02/2017,0
19,M,R1,m,05/02/2017,18
19,M,R1,m,05/02/2017,22
19,M,R1,m,06/02/2017,6
20,M,R1,m,06/02/2017,8
20,M,R1,m,06/02/2017,8
20,M,R1,m,06/02/2017,10
21,M,R1,m,06/02/2017,0
21,M,R1,m,06/02/2017,8
21,M,R1,m,06/02/2017,20
22,M,R1,m,05/02/2017,20
22,M,R1,m,06/02/2017,2
22,M,R1,m,06/02/2017,2
13,P,R1,m,05/02/2017,20
13,P,R1,m,06/02/2017,2
13,P,R1,m,06/02/2017,8
14,P,R1,m,06/02/2017,4
14,P,R1,m,06/02/2017,4
14,P,R1,m,06/02/2017,4
15,P,R1,m,05/02/2017,18
15,P,R1,m,06/02/2017,2
15,P,R1,m,06/02/2017,6
16,P,R1,m,05/02/2017,18
16,P,R1,m,06/02/2017,0
16,P,R1,m,06/02/2017,4
17,P,R1,m,06/02/2017,2
17,P,R1,m,06/02/2017,4
17,P,R1,m,06/02/2017,4
18,P,R1,m,06/02/2017,2
18,P,R1,m,06/02/2017,6
18,P,R1,m,06/02/2017,12
19,P,R1,m,05/02/2017,20
19,P,R1,m,05/02/2017,22
19,P,R1,m,06/02/2017,6
20,P,R1,m,05/02/2017,20
20,P,R1,m,05/02/2017,22
20,P,R1,m,06/02/2017,12
21,P,R1,m,05/02/2017,18
21,P,R1,m,05/02/2017,18
21,P,R1,m,05/02/2017,22
22,P,R1,m,05/02/2017,14
22,P,R1,m,05/02/2017,14
22,P,R1,m,06/02/2017,4
13,M,R2,m,06/02/2017,6
13,M,R2,m,06/02/2017,8
13,M,R2,m,07/02/2017,16
14,M,R2,m,05/02/2017,18
14,M,R2,m,05/02/2017,20
14,M,R2,m,06/02/2017,2
15,M,R2,m,05/02/2017,12
15,M,R2,m,05/02/2017,22
15,M,R2,m,06/02/2017,2
16,M,R2,m,05/02/2017,18
16,M,R2,m,06/02/2017,4
16,M,R2,m,06/02/2017,8
17,M,R2,m,05/02/2017,22
17,M,R2,m,06/02/2017,4
17,M,R2,m,06/02/2017,14
18,M,R2,m,05/02/2017,0
18,M,R2,m,06/02/2017,2
18,M,R2,m,06/02/2017,8
19,M,R2,m,05/02/2017,18
19,M,R2,m,05/02/2017,20
19,M,R2,m,06/02/2017,2
20,M,R2,m,05/02/2017,12
20,M,R2,m,05/02/2017,20
20,M,R2,m,05/02/2017,0
21,M,R2,m,05/02/2017,12
21,M,R2,m,05/02/2017,20
21,M,R2,m,06/02/2017,2
22,M,R2,m,05/02/2017,22
22,M,R2,m,06/02/2017,4
22,M,R2,m,06/02/2017,4
13,P,R2,m,05/02/2017,20
13,P,R2,m,05/02/2017,22
13,P,R2,m,06/02/2017,16
14,P,R2,m,05/02/2017,20
14,P,R2,m,06/02/2017,0
14,P,R2,m,06/02/2017,12
15,P,R2,m,06/02/2017,6
15,P,R2,m,06/02/2017,14
15,P,R2,m,06/02/2017,14
16,P,R2,m,06/02/2017,8
16,P,R2,m,06/02/2017,16
16,P,R2,m,07/02/2017,0
17,P,R2,m,06/02/2017,4
17,P,R2,m,06/02/2017,8
17,P,R2,m,06/02/2017,10
18,P,R2,m,05/02/2017,18
18,P,R2,m,05/02/2017,22
18,P,R2,m,06/02/2017,14
19,P,R2,m,05/02/2017,20
19,P,R2,m,06/02/2017,6
19,P,R2,m,06/02/2017,10
20,P,R2,m,05/02/2017,20
20,P,R2,m,06/02/2017,6
20,P,R2,m,06/02/2017,10
21,P,R2,m,06/02/2017,10
21,P,R2,m,06/02/2017,20
21,P,R2,m,06/02/2017,20
22,P,R2,m,06/02/2017,0
22,P,R2,m,06/02/2017,8
22,P,R2,m,06/02/2017,8
13,M,R3,m,06/02/2017,0
13,M,R3,m,06/02/2017,2
13,M,R3,m,06/02/2017,10
14,M,R3,m,06/02/2017,12
14,M,R3,m,07/02/2017,0
14,M,R3,m,07/02/2017,6
15,M,R3,m,04/02/2017,14
15,M,R3,m,06/02/2017,8
15,M,R3,m,06/02/2017,10
16,M,R3,m,05/02/2017,0
16,M,R3,m,06/02/2017,8
16,M,R3,m,06/02/2017,20
17,M,R3,m,06/02/2017,2
17,M,R3,m,06/02/2017,20
17,M,R3,m,07/02/2017,6
18,M,R3,m,06/02/2017,6
18,M,R3,m,06/02/2017,14
18,M,R3,m,06/02/2017,16
19,M,R3,m,05/02/2017,2
19,M,R3,m,06/02/2017,0
19,M,R3,m,06/02/2017,2
20,M,R3,m,06/02/2017,2
20,M,R3,m,06/02/2017,2
20,M,R3,m,06/02/2017,12
21,M,R3,m,05/02/2017,22
21,M,R3,m,06/02/2017,0
21,M,R3,m,06/02/2017,8
22,M,R3,m,06/02/2017,2
22,M,R3,m,06/02/2017,4
22,M,R3,m,06/02/2017,4
13,P,R3,m,05/02/2017,22
13,P,R3,m,06/02/2017,4
13,P,R3,m,06/02/2017,8
14,P,R3,m,05/02/2017,22
14,P,R3,m,06/02/2017,2
14,P,R3,m,07/02/2017,2
15,P,R3,m,05/02/2017,4
15,P,R3,m,06/02/2017,8
15,P,R3,m,07/02/2017,10
16,P,R3,m,05/02/2017,4
16,P,R3,m,06/02/2017,8
16,P,R3,m,06/02/2017,18
17,P,R3,m,06/02/2017,8
17,P,R3,m,06/02/2017,10
17,P,R3,m,06/02/2017,10
18,P,R3,m,05/02/2017,18
