Treatment,Rep,Sex,Seed,Slide,Individual,Side,Area,Mean,Min,Max,Length
M,R2,M,C,3,4,L,18532.515,169.182,109.825,209.275,2220.078
M,R3,M,A,2,2,L,18463.105,173.236,108,220.518,2214.459
M,R2,M,C,3,3,L,17074.901,159.238,98.572,210.179,2043.474
M,R4,F,B,3,2,L,20128.949,172.15,117.503,220.809,2411.901
M,R2,M,C,3,1,L,18046.644,159.358,111.1,223.445,2163.952
M,R4,F,B,1,2,L,18810.155,176.635,127.595,212.531,2252.605
M,R3,M,A,2,1,L,17838.413,171.247,114.123,219.619,2140.409
M,R3,F,A,1,4,L,19643.077,158.088,108.667,225.823,2354.85
M,R2,F,C,1,4,L,19504.257,156.837,102.512,214.355,2334.899
M,R4,M,B,2,2,R,17838.413,154.962,80.852,214.543,2134.433
M,R3,F,A,3,3,L,19573.667,179.013,98.064,218.828,2348.253
M,R3,M,A,2,4,L,17421.952,165.808,113.471,208.514,2089.756
M,R2,F,C,1,5,L,19226.616,166.462,99.96,207.361,2302.585
M,R4,M,C,3,1,L,18324.284,153.461,89.962,224.484,2191.142
M,R2,F,C,3,1,L,20128.949,156.668,80.589,219.031,2409.929
M,R4,M,C,3,4,L,17560.772,157.895,84.333,209.516,2107.615
M,R4,F,C,1,2,L,19712.488,155.335,78.376,215.555,2358.943
M,R4,F,B,3,3,L,19781.898,166.475,93.649,204.947,2366.449
M,R4,F,B,2,1,L,19920.718,169.744,126.667,207.161,2386.078
M,R3,M,A,2,5,L,17630.183,166.859,124.254,209.787,2108.982
M,R3,M,A,1,3,L,17699.593,162.472,108.843,210.466,2117.472
M,R2,F,C,3,2,L,19920.718,151.468,86.835,204.999,2383.051
M,R3,M,A,2,3,R,17213.722,163.564,107.433,204.866,2065.249
M,R4,F,B,2,2,L,19990.128,146.417,97.949,183.375,2392.745
M,R4,M,B,3,3,L,18116.054,161.833,77.851,241.042,2173.569
M,R2,F,C,2,2,L,19712.488,151.167,96.885,194.41,2363.573
M,R2,M,C,1,4,L,17838.413,173.807,113.769,225.697,2134.97
M,R2,F,C,3,4,R,20059.538,151.016,65.026,202.631,2400.984
M,R3,M,A,3,5,R,17630.183,169.818,117.74,213.878,2112.418
M,R4,M,B,2,1,R,17977.233,148.176,78.37,202.178,2154.002
M,R4,M,C,3,2,L,17630.183,162.055,99.253,225.015,2115.718
M,R3,M,A,3,2,L,17421.952,152.735,108.163,196.399,2089.474
M,R3,M,A,1,5,L,17838.413,145.838,100.187,203.029,2140.409
M,R4,F,C,3,4,L,20128.949,152.875,77.733,224.334,2415.352
P,R4,M,C,1,5,R,17651.606,167.646,90.333,217.264,2120.337
M,R4,F,A,1,1,L,19866.709,170.171,86.701,227.949,2379.571
M,R3,F,C,1,4,R,19243.711,173.428,96.642,241.434,2312.19
M,R1,F,C,2,1,L,19174.489,178.867,108.335,233.526,2301.191
M,R4,F,A,2,3,L,19866.709,161.785,59.394,229.672,2382.841
M,R1,F,C,1,5,L,19589.821,162.787,94.259,220.984,2351.552
P,R4,F,C,1,4,R,19451.377,180.739,111.175,231.426,2333.393
M,R4,M,A,3,5,L,17720.828,165.811,72.54,231.354,2122.882
